dataset,scenario_code,scenario_name,sequence_length,cnn_accuracy,attention_bilstm_accuracy,accuracy_difference_cnn_minus_bilstm,accuracy_difference_percentage_point,accuracy_winner,cnn_f1_macro,attention_bilstm_f1_macro,f1_difference_cnn_minus_bilstm,f1_difference_percentage_point,f1_winner,cnn_inference_ms_per_sample,attention_bilstm_inference_ms_per_sample,inference_difference_ms_cnn_minus_bilstm,faster_model
AG News,A1,Title,60,0.8725,0.8688157894736842,0.0036842105263158453,0.36842105263158453,CNN,0.8721047683701564,0.8683701927902188,0.0037345755799376157,0.37345755799376157,CNN,0.208588,0.461955,-0.253367,CNN
AG News,A2,Title + Description,60,0.916842105263158,0.9114473684210528,0.00539473684210523,0.539473684210523,CNN,0.9168050709752416,0.9110709871788676,0.005734083796373968,0.5734083796373968,CNN,0.199604,0.481006,-0.281402,CNN
Kompas,K1,Title,20,0.938,0.944,-0.006000000000000005,-0.6000000000000005,Attention-BiLSTM,0.9379869525019224,0.9438325024922908,-0.005845549990368348,-0.5845549990368348,Attention-BiLSTM,0.57276,1.076388,-0.5036279999999999,CNN
Kompas,K2,Title + Description,60,0.969,0.968,0.0010000000000000009,0.10000000000000009,CNN,0.9690358618620192,0.9680427375865936,0.0009931242754255276,0.09931242754255276,CNN,0.537634,1.066817,-0.529183,CNN
Kompas,K3,Title + Description + Keyword YAKE,60,0.959,0.958,0.0010000000000000009,0.10000000000000009,CNN,0.9590609517111816,0.9578833740254084,0.0011775776857732012,0.11775776857732012,CNN,0.47143,1.716941,-1.245511,CNN
