dataset,model,comparison,baseline_scenario,treatment_scenario,baseline_sequence_length,treatment_sequence_length,controlled_sequence_length,baseline_accuracy,treatment_accuracy,accuracy_change,accuracy_change_percentage_point,precision_macro_change,recall_macro_change,baseline_f1_macro,treatment_f1_macro,f1_change,log_loss_change,incorrect_before,incorrect_after,error_reduction,relative_error_reduction_percent,interpretation
AG News,Attention-BiLSTM,Title vs Title + Description,A1,A2,60,60,True,0.8688157894736842,0.9114473684210528,0.042631578947368576,4.263157894736858,0.04290728541804678,0.042631578947368576,0.8683701927902188,0.9110709871788676,0.04270079438864882,-0.10685526712166177,997,673,324,32.4974924774323,Penambahan description meningkatkan performa pada sequence length yang sama.
AG News,CNN,Title vs Title + Description,A1,A2,60,60,True,0.8725,0.916842105263158,0.04434210526315796,4.4342105263157965,0.045370605837178224,0.04434210526315796,0.8721047683701564,0.9168050709752416,0.044700302605085174,-0.10482909302861482,969,632,337,34.7781217750258,Penambahan description meningkatkan performa pada sequence length yang sama.
Kompas,Attention-BiLSTM,Title vs Title + Description,K1,K2,20,60,False,0.944,0.968,0.02400000000000002,2.400000000000002,0.024534890125353037,0.02400000000000002,0.9438325024922908,0.9680427375865936,0.024210235094302868,-0.06728020827188969,56,32,24,42.857142857142854,"Representasi Title + Description menghasilkan performa lebih tinggi, tetapi perubahan juga disertai peningkatan sequence length sehingga kontribusi description belum sepenuhnya terisolasi."
Kompas,CNN,Title vs Title + Description,K1,K2,20,60,False,0.938,0.969,0.031000000000000028,3.1000000000000028,0.031119206863345794,0.031000000000000028,0.9379869525019224,0.9690358618620192,0.031048909360096744,-0.0771074705052174,62,31,31,50.0,"Representasi Title + Description menghasilkan performa lebih tinggi, tetapi perubahan juga disertai peningkatan sequence length sehingga kontribusi description belum sepenuhnya terisolasi."
