finding_category,dataset,model,finding,change_percentage_point,controlled_comparison,interpretation
Description Contribution,AG News,Attention-BiLSTM,Perbandingan A1 ke A2 mengubah accuracy dari 0.8688 menjadi 0.9114.,4.263157894736858,True,Penambahan description meningkatkan performa pada sequence length yang sama.
Description Contribution,AG News,CNN,Perbandingan A1 ke A2 mengubah accuracy dari 0.8725 menjadi 0.9168.,4.4342105263157965,True,Penambahan description meningkatkan performa pada sequence length yang sama.
Description Contribution,Kompas,Attention-BiLSTM,Perbandingan K1 ke K2 mengubah accuracy dari 0.9440 menjadi 0.9680.,2.400000000000002,False,"Representasi Title + Description menghasilkan performa lebih tinggi, tetapi perubahan juga disertai peningkatan sequence length sehingga kontribusi description belum sepenuhnya terisolasi."
Description Contribution,Kompas,CNN,Perbandingan K1 ke K2 mengubah accuracy dari 0.9380 menjadi 0.9690.,3.1000000000000028,False,"Representasi Title + Description menghasilkan performa lebih tinggi, tetapi perubahan juga disertai peningkatan sequence length sehingga kontribusi description belum sepenuhnya terisolasi."
YAKE Contribution,Kompas,CNN,Penambahan keyword YAKE mengubah accuracy dari 0.9690 pada K2 menjadi 0.9590 pada K3.,-1.0000000000000009,True,Penambahan keyword YAKE belum meningkatkan accuracy.
YAKE Contribution,Kompas,Attention-BiLSTM,Penambahan keyword YAKE mengubah accuracy dari 0.9680 pada K2 menjadi 0.9580 pada K3.,-1.0000000000000009,True,Penambahan keyword YAKE belum meningkatkan accuracy.
Best Model,AG News,CNN,Model terbaik berdasarkan accuracy adalah cnn_a2 dengan accuracy 0.9168.,,,Model terbaik ditentukan secara terpisah untuk setiap dataset berdasarkan test set.
Best Model,Kompas,CNN,Model terbaik berdasarkan accuracy adalah cnn_k2 dengan accuracy 0.9690.,,,Model terbaik ditentukan secara terpisah untuk setiap dataset berdasarkan test set.
Model Comparison,All,CNN vs Attention-BiLSTM,"CNN unggul pada 4 skenario, Attention-BiLSTM unggul pada 1 skenario, dan seri pada 0 skenario.",,True,Perbandingan arsitektur dilakukan pada skenario representasi dan test set yang sama.
