dataset,category,text_source,rank,word,frequency,relative_frequency_percent,document_frequency,document_percentage
kompas,all,title + description,93,dollar,258,0.119649,197,1.970591
kompas,all,title + description,94,secara,254,0.117794,250,2.50075
kompas,all,title + description,95,belum,254,0.117794,211,2.110633
kompas,all,title + description,96,industri,254,0.117794,193,1.930579
kompas,all,title + description,97,bahwa,249,0.115475,248,2.480744
kompas,all,title + description,98,meski,247,0.114548,227,2.270681
kompas,all,title + description,99,italia,247,0.114548,164,1.640492
kompas,all,title + description,100,asia,246,0.114084,172,1.720516
ag_news_train,all,title + description,1,world,8620,0.307223,7469,6.233673
ag_news_train,all,title + description,2,company,7643,0.272402,7095,5.92153
ag_news_train,all,title + description,3,oil,7544,0.268873,4308,3.595483
ag_news_train,all,title + description,4,against,6888,0.245493,6212,5.184573
ag_news_train,all,title + description,5,inc,6837,0.243675,6229,5.198761
ag_news_train,all,title + description,6,iraq,6326,0.225463,4306,3.593814
ag_news_train,all,title + description,7,york,6254,0.222897,5763,4.809835
ag_news_train,all,title + description,8,three,6026,0.214771,5483,4.576145
ag_news_train,all,title + description,9,president,5990,0.213488,5313,4.434262
ag_news_train,all,title + description,10,microsoft,5926,0.211207,3683,3.073854
ag_news_train,all,title + description,11,million,5801,0.206751,4729,3.946852
ag_news_train,all,title + description,12,game,5763,0.205397,4669,3.896776
ag_news_train,all,title + description,13,week,5643,0.20112,5168,4.313244
ag_news_train,all,title + description,14,time,5486,0.195525,4992,4.166354
ag_news_train,all,title + description,15,corp,5151,0.183585,4814,4.017794
ag_news_train,all,title + description,16,united,5126,0.182694,4523,3.774923
ag_news_train,all,title + description,17,stocks,4949,0.176386,3318,2.769223
ag_news_train,all,title + description,18,prices,4900,0.174639,3797,3.168999
ag_news_train,all,title + description,19,government,4857,0.173107,4521,3.773254
ag_news_train,all,title + description,20,security,4781,0.170398,3681,3.072185
ag_news_train,all,title + description,21,group,4713,0.167974,4169,3.479473
ag_news_train,all,title + description,22,people,4670,0.166442,4399,3.671432
ag_news_train,all,title + description,23,off,4655,0.165907,4241,3.539565
ag_news_train,all,title + description,24,second,4534,0.161595,4120,3.438577
ag_news_train,all,title + description,25,percent,4505,0.160561,3703,3.090546
ag_news_train,all,title + description,26,back,4487,0.15992,4018,3.353447
ag_news_train,all,title + description,27,software,4476,0.159528,3629,3.028786
ag_news_train,all,title + description,28,next,4383,0.156213,4095,3.417712
ag_news_train,all,title + description,29,season,4338,0.154609,3833,3.199045
ag_news_train,all,title + description,30,team,4297,0.153148,3802,3.173172
ag_news_train,all,title + description,31,day,4266,0.152043,3877,3.235768
ag_news_train,all,title + description,32,win,4260,0.151829,3867,3.227422
ag_news_train,all,title + description,33,third,4240,0.151116,3910,3.26331
ag_news_train,all,title + description,34,internet,4064,0.144844,3367,2.810119
ag_news_train,all,title + description,35,night,4014,0.143062,3869,3.229091
ag_news_train,all,title + description,36,quarter,3986,0.142064,3413,2.848511
ag_news_train,all,title + description,37,high,3959,0.141101,3567,2.97704
ag_news_train,all,title + description,38,china,3957,0.14103,2514,2.0982
ag_news_train,all,title + description,39,top,3896,0.138856,3558,2.969529
ag_news_train,all,title + description,40,state,3867,0.137822,3261,2.721651
ag_news_train,all,title + description,41,market,3791,0.135114,3289,2.745019
ag_news_train,all,title + description,42,deal,3788,0.135007,3188,2.660724
ag_news_train,all,title + description,43,open,3732,0.133011,2912,2.430373
ag_news_train,all,title + description,44,sales,3730,0.13294,2709,2.260948
ag_news_train,all,title + description,45,minister,3711,0.132262,3309,2.761712
ag_news_train,all,title + description,46,four,3708,0.132156,3332,2.780908
ag_news_train,all,title + description,47,news,3696,0.131728,3236,2.700785
ag_news_train,all,title + description,48,bush,3678,0.131086,2376,1.983024
ag_news_train,all,title + description,49,billion,3617,0.128912,2908,2.427035
ag_news_train,all,title + description,50,record,3585,0.127772,2984,2.490465
ag_news_train,all,title + description,51,down,3568,0.127166,3285,2.741681
ag_news_train,all,title + description,52,business,3558,0.126809,3071,2.563075
ag_news_train,all,title + description,53,end,3540,0.126168,3244,2.707462
ag_news_train,all,title + description,54,announced,3437,0.122497,3385,2.825142
ag_news_train,all,title + description,55,international,3417,0.121784,3225,2.691605
ag_news_train,all,title + description,56,washington,3378,0.120394,3126,2.608979
ag_news_train,all,title + description,57,former,3375,0.120287,3020,2.52051
ag_news_train,all,title + description,58,killed,3352,0.119467,2711,2.262617
ag_news_train,all,title + description,59,report,3241,0.115511,2812,2.346912
ag_news_train,all,title + description,60,profit,3241,0.115511,2212,1.846149
ag_news_train,all,title + description,61,victory,3220,0.114763,3021,2.521345
ag_news_train,all,title + description,62,officials,3216,0.11462,3042,2.538872
ag_news_train,all,title + description,63,city,3196,0.113908,2780,2.320205
ag_news_train,all,title + description,64,court,3186,0.113551,2363,1.972174
ag_news_train,all,title + description,65,service,3155,0.112446,2643,2.205864
ag_news_train,all,title + description,66,home,3134,0.111698,2771,2.312694
ag_news_train,all,title + description,67,plans,3131,0.111591,2852,2.380297
ag_news_train,all,title + description,68,month,3115,0.111021,2900,2.420358
ag_news_train,all,title + description,69,com,3087,0.110023,2123,1.771869
ag_news_train,all,title + description,70,set,3085,0.109951,2862,2.388643
ag_news_train,all,title + description,71,states,3051,0.10874,2937,2.451238
ag_news_train,all,title + description,72,european,3020,0.107635,2606,2.174984
ag_news_train,all,title + description,73,chief,2993,0.106673,2610,2.178322
ag_news_train,all,title + description,74,american,2978,0.106138,2671,2.229233
ag_news_train,all,title + description,75,technology,2952,0.105211,2679,2.23591
ag_news_train,all,title + description,76,lead,2926,0.104285,2549,2.127411
ag_news_train,all,title + description,77,computer,2889,0.102966,2523,2.105711
ag_news_train,all,title + description,78,search,2889,0.102966,1680,1.402138
ag_news_train,all,title + description,79,league,2884,0.102788,2553,2.130749
ag_news_train,all,title + description,80,talks,2869,0.102253,2068,1.725965
ag_news_train,all,title + description,81,cup,2848,0.101505,2173,1.813599
ag_news_train,all,title + description,82,just,2832,0.100934,2750,2.295167
ag_news_train,all,title + description,83,space,2814,0.100293,1769,1.476418
ag_news_train,all,title + description,84,five,2803,0.099901,2557,2.134088
ag_news_train,all,title + description,85,online,2801,0.099829,2325,1.940459
ag_news_train,all,title + description,86,country,2772,0.098796,2718,2.268459
ag_news_train,all,title + description,87,national,2728,0.097228,2533,2.114057
ag_news_train,all,title + description,88,british,2722,0.097014,2216,1.849487
ag_news_train,all,title + description,89,expected,2712,0.096657,2552,2.129915
ag_news_train,all,title + description,90,largest,2703,0.096337,2628,2.193345
ag_news_train,all,title + description,91,reported,2699,0.096194,2645,2.207533
ag_news_train,all,title + description,92,take,2694,0.096016,2534,2.114892
ag_news_train,all,title + description,93,shares,2670,0.095161,2131,1.778546
ag_news_train,all,title + description,94,red,2670,0.095161,1968,1.642505
ag_news_train,all,title + description,95,india,2669,0.095125,1728,1.442199
ag_news_train,all,title + description,96,target,2656,0.094662,2232,1.862841
ag_news_train,all,title + description,97,bank,2633,0.093842,1936,1.615797
ag_news_train,all,title + description,98,won,2631,0.093771,2523,2.105711
ag_news_train,all,title + description,99,japan,2629,0.093699,1824,1.522322
ag_news_train,all,title + description,100,prime,2609,0.092986,2455,2.048958
ag_news_test,all,title + description,1,world,526,0.296728,461,6.065789
ag_news_test,all,title + description,2,company,484,0.273034,450,5.921053
ag_news_test,all,title + description,3,against,477,0.269086,431,5.671053
ag_news_test,all,title + description,4,inc,449,0.25329,406,5.342105
ag_news_test,all,title + description,5,oil,431,0.243136,246,3.236842
ag_news_test,all,title + description,6,microsoft,416,0.234674,248,3.263158
ag_news_test,all,title + description,7,york,387,0.218315,359,4.723684
ag_news_test,all,title + description,8,iraq,378,0.213238,253,3.328947
ag_news_test,all,title + description,9,president,367,0.207032,328,4.315789
ag_news_test,all,title + description,10,million,363,0.204776,300,3.947368
ag_news_test,all,title + description,11,week,363,0.204776,336,4.421053
ag_news_test,all,title + description,12,three,360,0.203083,326,4.289474
ag_news_test,all,title + description,13,time,358,0.201955,325,4.276316
ag_news_test,all,title + description,14,game,353,0.199135,287,3.776316
ag_news_test,all,title + description,15,second,337,0.190109,316,4.157895
ag_news_test,all,title + description,16,united,334,0.188416,284,3.736842
ag_news_test,all,title + description,17,next,322,0.181647,300,3.947368
ag_news_test,all,title + description,18,government,309,0.174313,291,3.828947
ag_news_test,all,title + description,19,off,303,0.170929,277,3.644737
ag_news_test,all,title + description,20,group,301,0.1698,260,3.421053
ag_news_test,all,title + description,21,corp,295,0.166416,281,3.697368
ag_news_test,all,title + description,22,prices,293,0.165287,225,2.960526
ag_news_test,all,title + description,23,security,291,0.164159,229,3.013158
ag_news_test,all,title + description,24,percent,290,0.163595,237,3.118421
ag_news_test,all,title + description,25,people,290,0.163595,271,3.565789
ag_news_test,all,title + description,26,team,286,0.161339,251,3.302632
ag_news_test,all,title + description,27,win,284,0.16021,252,3.315789
ag_news_test,all,title + description,28,stocks,280,0.157954,188,2.473684
ag_news_test,all,title + description,29,season,279,0.15739,247,3.25
ag_news_test,all,title + description,30,day,278,0.156826,248,3.263158
ag_news_test,all,title + description,31,software,268,0.151184,225,2.960526
ag_news_test,all,title + description,32,back,268,0.151184,241,3.171053
ag_news_test,all,title + description,33,state,266,0.150056,223,2.934211
ag_news_test,all,title + description,34,internet,259,0.146107,211,2.776316
ag_news_test,all,title + description,35,china,258,0.145543,158,2.078947
ag_news_test,all,title + description,36,high,254,0.143287,230,3.026316
ag_news_test,all,title + description,37,bush,254,0.143287,173,2.276316
ag_news_test,all,title + description,38,quarter,250,0.14103,218,2.868421
ag_news_test,all,title + description,39,end,244,0.137645,219,2.881579
ag_news_test,all,title + description,40,court,243,0.137081,174,2.289474
ag_news_test,all,title + description,41,market,242,0.136517,210,2.763158
ag_news_test,all,title + description,42,deal,237,0.133697,205,2.697368
ag_news_test,all,title + description,43,plans,234,0.132004,211,2.776316
ag_news_test,all,title + description,44,night,234,0.132004,226,2.973684
ag_news_test,all,title + description,45,announced,233,0.13144,230,3.026316
ag_news_test,all,title + description,46,open,232,0.130876,182,2.394737
ag_news_test,all,title + description,47,down,229,0.129184,213,2.802632
ag_news_test,all,title + description,48,news,228,0.12862,203,2.671053
ag_news_test,all,title + description,49,report,227,0.128055,196,2.578947
ag_news_test,all,title + description,50,top,225,0.126927,211,2.776316
ag_news_test,all,title + description,51,record,223,0.125799,188,2.473684
ag_news_test,all,title + description,52,four,219,0.123542,194,2.552632
