sample_number,position,token_id,token,predicted_class_index,predicted_class_name,output_class_index,output_class_name,signed_shap,abs_shap,is_predicted_class
1,0,9,as,3,tekno,0,bola,-0.27317818999290466,0.27317818999290466,False
1,0,9,as,3,tekno,1,global,0.14084552228450775,0.14084552228450775,False
1,0,9,as,3,tekno,2,money,0.03260918706655502,0.03260918706655502,False
1,0,9,as,3,tekno,3,tekno,0.06453423947095871,0.06453423947095871,True
1,1,1810,bongkar,3,tekno,0,bola,-0.03870481997728348,0.03870481997728348,False
1,1,1810,bongkar,3,tekno,1,global,-0.024170786142349243,0.024170786142349243,False
1,1,1810,bongkar,3,tekno,2,money,-0.02079836092889309,0.02079836092889309,False
1,1,1810,bongkar,3,tekno,3,tekno,-0.001896760892122984,0.001896760892122984,True
1,2,812,dugaan,3,tekno,0,bola,0.3484424352645874,0.3484424352645874,False
1,2,812,dugaan,3,tekno,1,global,-0.04971276596188545,0.04971276596188545,False
1,2,812,dugaan,3,tekno,2,money,-0.1243528351187706,0.1243528351187706,False
1,2,812,dugaan,3,tekno,3,tekno,-0.10854251682758331,0.10854251682758331,True
1,3,11845,penggelapan,3,tekno,0,bola,-0.26021623611450195,0.26021623611450195,False
1,3,11845,penggelapan,3,tekno,1,global,0.11963196098804474,0.11963196098804474,False
1,3,11845,penggelapan,3,tekno,2,money,0.12206912785768509,0.12206912785768509,False
1,3,11845,penggelapan,3,tekno,3,tekno,0.025248730555176735,0.025248730555176735,True
1,4,578,dana,3,tekno,0,bola,-0.12196280062198639,0.12196280062198639,False
1,4,578,dana,3,tekno,1,global,-0.0038836814928799868,0.0038836814928799868,False
1,4,578,dana,3,tekno,2,money,0.17503514885902405,0.17503514885902405,False
1,4,578,dana,3,tekno,3,tekno,-0.07171373814344406,0.07171373814344406,True
1,5,16,rp,3,tekno,0,bola,0.3596535623073578,0.3596535623073578,False
1,5,16,rp,3,tekno,1,global,-0.10627317428588867,0.10627317428588867,False
1,5,16,rp,3,tekno,2,money,0.0,0.0,False
1,5,16,rp,3,tekno,3,tekno,-0.05331321060657501,0.05331321060657501,True
1,6,10312,354,3,tekno,0,bola,-0.26962146162986755,0.26962146162986755,False
1,6,10312,354,3,tekno,1,global,0.04929545149207115,0.04929545149207115,False
1,6,10312,354,3,tekno,2,money,0.06890089064836502,0.06890089064836502,False
1,6,10312,354,3,tekno,3,tekno,0.04169628769159317,0.04169628769159317,True
1,7,200,miliar,3,tekno,0,bola,-0.1341041773557663,0.1341041773557663,False
1,7,200,miliar,3,tekno,1,global,0.037145212292671204,0.037145212292671204,False
1,7,200,miliar,3,tekno,2,money,0.08198320865631104,0.08198320865631104,False
1,7,200,miliar,3,tekno,3,tekno,0.026222025975584984,0.026222025975584984,True
1,8,3,di,3,tekno,0,bola,-0.1838773787021637,0.1838773787021637,False
1,8,3,di,3,tekno,1,global,0.11874182522296906,0.11874182522296906,False
1,8,3,di,3,tekno,2,money,-0.02054678276181221,0.02054678276181221,False
1,8,3,di,3,tekno,3,tekno,0.04973551630973816,0.04973551630973816,True
1,9,1,[UNK],3,tekno,0,bola,-0.07789108157157898,0.07789108157157898,False
1,9,1,[UNK],3,tekno,1,global,-0.001071345992386341,0.001071345992386341,False
