rank,token_id,token,total_abs_shap,mean_abs_shap,total_abs_predicted_class_shap,mean_abs_predicted_class_shap,mean_signed_predicted_class_shap,occurrence_count,normalized_global_importance
1,2,[SEP],8.297328527085483,0.08297328527085483,9.731671420391649,0.0973167142039165,0.008500661398284138,100,0.029593536952431568
2,1,[UNK],7.767079507000744,0.07845534855556308,8.6117199358996,0.08698707005959193,0.0092322260418888,99,0.02770233258241727
3,3,di,5.530489719007164,0.08641390185948694,7.344220767728984,0.11475344949576538,-0.021790094426251017,64,0.01972523461379333
4,4,dan,4.936541458591819,0.10503279699131529,4.9758000920992345,0.10586808706594115,0.009637203587694688,47,0.01760683834503572
5,6,yang,3.844987725839019,0.10118388752207945,4.825850926805288,0.12699607702119178,-0.006374157144148883,38,0.01371366530502216
6,7,ini,3.833890402922407,0.12779634676408022,4.595514052547514,0.1531838017515838,-0.0522145832888782,30,0.013674085211895346
7,8,iran,3.4303488302975893,0.11065641388056739,5.826691210269928,0.1879577809764493,0.16422575567999192,31,0.012234799976613754
8,5,2026,2.9146095854230225,0.07877323203846007,3.393035478424281,0.09170366157903462,0.01267276841492669,37,0.010395346669300183
9,10,untuk,2.6134370933286846,0.08430442236544143,2.9161159191280603,0.09406825545574388,0.03270280847866689,31,0.009321174513195333
10,9,as,2.5254240203648806,0.07891950063640252,3.574203554773703,0.11169386108667823,0.0714478760419297,32,0.009007264063759833
11,12,indonesia,2.3849487863481045,0.10369342549339584,3.144768889993429,0.13672908217362736,-0.020323684196109356,23,0.008506240268545932
12,11,ke,2.0650046598166227,0.07942325614679319,2.7232632599771023,0.10474089461450393,-0.04314503073692322,26,0.007365116556219133
13,16,rp,2.0052004903554916,0.18229095366868106,1.4992866460233927,0.1362987860021266,-0.05844853225756775,11,0.007151816951041377
14,63,presiden,1.77851078286767,0.13680852175905153,2.028465960174799,0.15603584309036916,-0.0008831310730714065,13,0.006343297653127885
15,17,pada,1.7728855144232512,0.1108053446514532,2.196175754070282,0.13726098462939262,-0.0795738052111119,16,0.006323234377456222
16,14,dengan,1.592043386772275,0.0936496109866044,1.9753370669204742,0.11619629805414554,0.01644675900666591,17,0.005678236632733275
17,39,hormuz,1.583725705742836,0.13197714214523634,2.312373725697398,0.19269781047478318,0.05441365002964934,12,0.005648570505846806
18,26,ai,1.475636750459671,0.21080525006566728,2.4053956642746925,0.3436279520392418,0.3137122743896076,7,0.005263056724889448
19,18,trump,1.4700963199138641,0.11308433230106647,2.134436358930543,0.16418741222542638,0.12209893324269125,13,0.005243296034981307
20,31,baru,1.43785834684968,0.11060448821920615,1.6581235621124506,0.12754796631634235,0.0572718523729306,13,0.005128314972819899
21,36,hari,1.327321134507656,0.10210162573135816,1.8428922928869724,0.1417609456066902,-0.014346634825834861,13,0.0047340691541345094
22,78,daftar,1.3241765312850475,0.2206960885475079,1.5374411381781101,0.2562401896963517,-0.1263427281131347,6,0.00472285350425814
23,13,dari,1.3147962531074882,0.07734095606514636,2.0034532016143203,0.11785018833025414,-0.0209483510321554,17,0.004689397481881116
24,21,vs,1.2939888956025243,0.09953760735404033,2.4540532929822803,0.18877333022940618,0.18029354004046091,13,0.004615185245834836
25,24,akan,1.277459692209959,0.07984123076312244,1.5988117675296962,0.09992573547060601,0.024480832478730008,16,0.004556231621207904
26,261,prabowo,1.2660721242427826,0.1808674463203975,1.8511320501565933,0.2644474357366562,0.12816959832395827,7,0.004515616330113321
27,59,kapal,1.1916434243321419,0.09930361869434516,2.1553820222616196,0.17961516852180162,0.16683117051919302,12,0.004250156372256178
28,578,dana,1.172372069209814,0.16748172417283058,1.2063272297382355,0.1723324613911765,0.12678519742829458,7,0.004181422495072172
29,42,hp,1.1702668517827988,0.14628335647284985,2.216364823281765,0.2770456029102206,0.2770456029102206,8,0.004173913954279083
30,171,google,1.0055771544575691,0.16759619240959486,1.817065509967506,0.302844251661251,0.2985542362245421,6,0.00358652602242014
31,30,perang,0.9611917734146118,0.19223835468292236,1.8839508891105652,0.37679017782211305,0.37679017782211305,5,0.0034282195976769584
32,43,saat,0.9408659674227238,0.13440942391753197,1.0219551473855972,0.14599359248365676,-0.0014960169792175293,7,0.00335572487979935
33,23,jadi,0.9075342360883951,0.12964774801262788,1.2094651907682419,0.17278074153832026,-0.13761626183986664,7,0.003236842781819139
34,38,selat,0.8988058194518089,0.0749004849543174,1.0278094289824367,0.08565078574853639,0.011729708950345715,12,0.003205711711206733
35,47,israel,0.8822690974920988,0.14704484958201647,1.0119452513754368,0.16865754189590612,0.040868580962220825,6,0.0031467312705999455
36,51,mei,0.8525833263993263,0.12179761805704661,1.2780318409204483,0.18257597727434977,0.09319845693452018,7,0.0030408529796623713
37,15,harga,0.8498065695166588,0.10622582118958235,0.8178093004971743,0.10222616256214678,0.0012755619827657938,8,0.0030309493031782002
38,447,ojk,0.7802222706377506,0.13003704510629177,1.0974551476538181,0.18290919127563635,0.14679179154336452,6,0.0027827675524544717
39,1041,bantuan,0.7790079675614834,0.19475199189037085,0.6254656165838242,0.15636640414595604,-0.03513936325907707,4,0.002778436577389225
40,223,i,0.7624273151159286,0.15248546302318572,0.46186262741684914,0.09237252548336983,-0.03984271511435509,5,0.0027192994528025356
41,751,ternyata,0.7488557696342468,0.7488557696342468,0.5677220225334167,0.5677220225334167,-0.5677220225334167,1,0.0026708947124812754
42,40,china,0.7428734842687845,0.10612478346696921,1.0206572599709034,0.14580817999584333,0.107156652957201,7,0.0026495580879948655
43,84,saham,0.7327615767717361,0.12212692946195602,1.4784569665789604,0.24640949442982674,0.1460303751130899,6,0.0026134926113542067
44,76,rupiah,0.7324541509151459,0.12207569181919098,1.1077566519379616,0.18462610865632692,0.18462610865632692,6,0.002612396135733477
45,53,ada,0.7306116484105587,0.09132645605131984,1.151569387409836,0.1439461734262295,0.04990949743660167,8,0.0026058246030074366
46,1856,januari,0.7171299904584885,0.35856499522924423,0.7925796024501324,0.3962898012250662,-0.34580489434301853,2,0.002557740458637083
47,69,setelah,0.7149447277188301,0.17873618192970753,0.5939120762050152,0.1484780190512538,0.02046434860676527,4,0.0025499464254822254
48,452,persebaya,0.710700137540698,0.08883751719258726,1.3411928564310074,0.16764910705387592,-0.0448794960975647,8,0.0025348075243438123
49,383,solo,0.7061442285776138,0.23538140952587128,1.0533543452620506,0.3511181150873502,-0.30168061703443527,3,0.002518558262932645
50,48,persib,0.6993024088442326,0.11655040147403876,1.4533395394682884,0.24222325657804808,0.2172832153737545,6,0.0024941559936431084
