importance_rank,shap_sample_position,original_test_index,document_id,selection_type,actual_index,actual_label,predicted_index,predicted_label,token_id,token,signed_shap,absolute_shap,occurrence_count,direction
1,31,211,KMP-02488,correct_high_confidence,2,money,2,money,73,rupiah,0.20971813797950745,0.22043463587760925,1,mendukung_prediksi
2,31,211,KMP-02488,correct_high_confidence,2,money,2,money,362,ojk,0.14875183813273907,0.1567204687744379,2,mendukung_prediksi
3,31,211,KMP-02488,correct_high_confidence,2,money,2,money,667,tertekan,0.08337433636188507,0.08864094316959381,1,mendukung_prediksi
4,31,211,KMP-02488,correct_high_confidence,2,money,2,money,1293,perbankan,0.05400695465505123,0.06046752259135246,2,mendukung_prediksi
5,31,211,KMP-02488,correct_high_confidence,2,money,2,money,130,tetap,0.038736388087272644,0.05021272413432598,2,mendukung_prediksi
6,31,211,KMP-02488,correct_high_confidence,2,money,2,money,58,masih,0.0439690463244915,0.04547371342778206,1,mendukung_prediksi
7,31,211,KMP-02488,correct_high_confidence,2,money,2,money,6980,memandang,0.00709664449095726,0.04113501310348511,1,mendukung_prediksi
8,31,211,KMP-02488,correct_high_confidence,2,money,2,money,543,risiko,0.03878914937376976,0.04012560471892357,1,mendukung_prediksi
9,31,211,KMP-02488,correct_high_confidence,2,money,2,money,3864,terkendali,0.025761153548955917,0.0341784842312336,1,mendukung_prediksi
10,31,211,KMP-02488,correct_high_confidence,2,money,2,money,90,ekonomi,0.03168635815382004,0.03382562845945358,1,mendukung_prediksi
11,31,211,KMP-02488,correct_high_confidence,2,money,2,money,33,tengah,0.02727903053164482,0.03064829856157303,1,mendukung_prediksi
12,31,211,KMP-02488,correct_high_confidence,2,money,2,money,2103,dinamika,0.024020621553063393,0.028553010895848274,1,mendukung_prediksi
13,31,211,KMP-02488,correct_high_confidence,2,money,2,money,23,akan,-0.013128083199262619,0.028074320405721664,1,menahan_prediksi
14,31,211,KMP-02488,correct_high_confidence,2,money,2,money,716,kinerja,0.022144846618175507,0.026376480236649513,1,mendukung_prediksi
15,31,211,KMP-02488,correct_high_confidence,2,money,2,money,3,di,-0.004413835238665342,0.025991927832365036,1,menahan_prediksi
16,31,211,KMP-02488,correct_high_confidence,2,money,2,money,167,meski,0.004999679978936911,0.02558010444045067,1,mendukung_prediksi
17,31,211,KMP-02488,correct_high_confidence,2,money,2,money,195,nasional,0.01835625246167183,0.025236835703253746,1,mendukung_prediksi
18,31,211,KMP-02488,correct_high_confidence,2,money,2,money,2118,solid,0.016722537577152252,0.024707918986678123,1,mendukung_prediksi
19,31,211,KMP-02488,correct_high_confidence,2,money,2,money,5,2026,0.006757909432053566,0.023565785959362984,1,mendukung_prediksi
20,31,211,KMP-02488,correct_high_confidence,2,money,2,money,17,pada,-0.0032096090726554394,0.018945563584566116,1,menahan_prediksi
21,31,211,KMP-02488,correct_high_confidence,2,money,2,money,4,dan,0.01739552617073059,0.018757132813334465,1,mendukung_prediksi
22,31,211,KMP-02488,correct_high_confidence,2,money,2,money,52,global,0.008386217057704926,0.014345642179250717,1,mendukung_prediksi
23,31,211,KMP-02488,correct_high_confidence,2,money,2,money,707,domestik,0.00139231001958251,0.008257508277893066,1,mendukung_prediksi
1,55,416,KMP-04377,correct_high_confidence,3,tekno,3,tekno,200,s26,0.12280542869120836,0.13642893079668283,6,mendukung_prediksi
2,55,416,KMP-04377,correct_high_confidence,3,tekno,3,tekno,88,samsung,0.08330011367797852,0.08833673596382141,2,mendukung_prediksi
3,55,416,KMP-04377,correct_high_confidence,3,tekno,3,tekno,741,plus,0.04874613136053085,0.052384790033102036,2,mendukung_prediksi
4,55,416,KMP-04377,correct_high_confidence,3,tekno,3,tekno,145,galaxy,0.03441629558801651,0.035963114351034164,1,mendukung_prediksi
5,55,416,KMP-04377,correct_high_confidence,3,tekno,3,tekno,214,ultra,0.0276691522449255,0.029950052499771118,2,mendukung_prediksi
6,55,416,KMP-04377,correct_high_confidence,3,tekno,3,tekno,416,gratis,0.018408904317766428,0.026238559745252132,2,mendukung_prediksi
7,55,416,KMP-04377,correct_high_confidence,3,tekno,3,tekno,689,memori,0.014591518323868513,0.025113855488598347,2,mendukung_prediksi
8,55,416,KMP-04377,correct_high_confidence,3,tekno,3,tekno,2036,upgrade,0.015670001041144133,0.02010024432092905,2,mendukung_prediksi
9,55,416,KMP-04377,correct_high_confidence,3,tekno,3,tekno,4,dan,0.005939069902524352,0.015986249782145023,2,mendukung_prediksi
10,55,416,KMP-04377,correct_high_confidence,3,tekno,3,tekno,573,promo,-0.003310476429760456,0.010386046953499317,1,menahan_prediksi
11,55,416,KMP-04377,correct_high_confidence,3,tekno,3,tekno,645,dibuka,0.008644952438771725,0.010102780535817146,1,mendukung_prediksi
12,55,416,KMP-04377,correct_high_confidence,3,tekno,3,tekno,2917,po,0.0051563810557127,0.009551502764225006,1,mendukung_prediksi
